,Source0,,,,,Source1,,,,,Mean,,,,
,Macro_F1,Accuracy,Weighted_F1,Macro_Precision,Macro_Recall,Macro_F1,Accuracy,Weighted_F1,Macro_Precision,Macro_Recall,Macro_F1,Accuracy,Weighted_F1,Macro_Precision,Macro_Recall
Model,,,,,,,,,,,,,,,
Qwen4 after,0.8658,0.9405,0.9443,0.8467,0.8967,0.8642,0.9566,0.9621,0.829,0.9381,0.865,0.9485,0.9532,0.8379,0.9174
Qwen1.7 after,0.866,0.9425,0.9443,0.8536,0.8809,0.8439,0.9504,0.9531,0.8237,0.8732,0.8549,0.9465,0.9487,0.8386,0.8771
Qwen0.6 after,0.8552,0.9405,0.9378,0.8833,0.8335,0.8322,0.9463,0.947,0.8269,0.8387,0.8437,0.9434,0.9424,0.8551,0.8361
BERT after,0.7584,0.8953,0.8914,0.7709,0.7502,0.712,0.8988,0.9007,0.7074,0.7176,0.7352,0.897,0.8961,0.7392,0.7339
SVM,0.6436,0.8604,0.838,0.8219,0.6475,0.6035,0.8864,0.8698,0.5901,0.6187,0.6235,0.8734,0.8539,0.706,0.6331
Qwen4 before,0.4671,0.6263,0.6391,0.4728,0.4961,0.5612,0.7355,0.7335,0.5723,0.5685,0.5142,0.6809,0.6863,0.5226,0.5323
Qwen0.6 before,0.5093,0.6715,0.6772,0.5065,0.5182,0.5127,0.6839,0.6921,0.5103,0.5208,0.511,0.6777,0.6847,0.5084,0.5195
Lexicon,0.48,0.7269,0.6995,0.499,0.4823,0.4885,0.7066,0.688,0.5228,0.4833,0.4843,0.7168,0.6937,0.5109,0.4828
Qwen1.7 before,0.3944,0.5318,0.5547,0.4124,0.4217,0.4402,0.593,0.6087,0.4509,0.4505,0.4173,0.5624,0.5817,0.4316,0.4361
BERT before,0.2709,0.6632,0.5311,0.5542,0.336,0.2407,0.564,0.4118,0.1896,0.3297,0.2558,0.6136,0.4715,0.3719,0.3328
