id,review_id,review_text,sentiment,difficulty,ambiguous_flag,verified_by,annotator_a,annotator_b,judge_reason,annotated_at,source
sample_f63eceda,41820,"very offbeat comedy good job portraying different side western life,experience circumstance.The characters very richly portrayed.It provides original aspect shows people different natures subsisting together ,,such as found real life,every character separate person own quirks foibles.",1,2,False,weak_consensus_upgraded,"{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review highlights the film's original portrayal of characters and their quirks, suggesting a favorable impression overall.""}","{""sentiment"": 1, ""difficulty"": 1, ""ambiguous_flag"": false, ""reason"": ""The review consistently praises the movie's originality, character portrayal, and its depiction of western life.""}",,2026-04-08T02:38:56.352926,0
sample_82b0316f,41819,"Saw 20th-anniversary screening Edmonton International Film Festival. great see well stood test time, see big screen. It's not perfect filmit's bit shaggy-dog tale, some comic elements work better than others. said, pleasures vastly outweigh any flaws. Some fantastic comedic performances, most notably from underused First Nations actor Sam Bob Battlestar Galactica's Michael Hogan. director, Francis Damberger, selling copies film attempt raise capital needed proper high-definition digital transfer film. Send few bucks his way, snag own personal copy movie, help preserve classic slice Canadiana while still can! info, email him: dfcc.fran-at-gmail-dot-com.",1,2,False,strong_consensus,"{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review expresses overall favorable impressions of the film, noting that the pleasures outweigh its flaws despite some imperfections.""}","{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review acknowledges flaws but explicitly states the movie's 'pleasures vastly outweigh any flaws' and refers to it as a 'classic slice Canadiana'.""}",,2026-04-08T02:38:56.486892,0
sample_da3b2447,41822,"saw movie years ago theater, hated it. just watched again (2002) loved it. several laugh out loud jokes running smirk movie. If you've ever any experience alternative meds - you'll love to. self effacing wonderful. Don't expect Godfather cinema type won't disappointed. wonderful see Hopkins & Broderick playing straight. Kudos.",1,2,False,strong_consensus,"{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review expresses a clear positive sentiment towards the movie, highlighting laugh-out-loud moments and enjoyable performances, despite initial dislike.""}","{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The reviewer explicitly states 'loved it' upon rewatching and gives multiple positive descriptors and a conditional recommendation, despite an initial negative reaction years ago.""}",,2026-04-08T02:38:57.036352,0
sample_26c667e4,41826,"David Arquette must most focused guitar player planet. anyone could Salma Hayek crawling all over his lap focus playing guitar beyond me. If Salma ever got close I'd trouble remembering breathe. movie surprise many ways. 1. didn't even know existed until few months ago. 2. filmed almost entirely home town Whittier, 3. Robert Rodriguez shows us again master can almost anything minimal budget as long as everyone gets out his way. Rodriguez Tom Nix wrote script days, shot 13, edited 15. anyone outside even that? Plus Rodriguez, unlike TV, delivers something that's enjoyable watch. big plus Rodriguez' commentary, complimentary his minute film school. alone worth price admission.",1,2,False,strong_consensus,"{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review expresses a favorable impression of the movie, highlighting the enjoyable direction by Robert Rodriguez and the value of his commentary, despite some disjointed phrasing.""}","{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review praises the movie as an 'enjoyable watch' and highlights Robert Rodriguez's skill in making it on a minimal budget.""}",,2026-04-08T02:38:57.589361,0
sample_e5204077,41825,"friend mine saw movie Showtime & recommended it. good fortune rent - & later buy laserdisc version includes Director's commentary track. film's good, RR's commentary makes better. Hearing he ended up getting gig, exactly he given work he ended up film you're watching, another great story fans director just film-making general. comment track he alludes lots other material he from project, like videos made during production, makes offhand comment effect 'someday if ever comes out DVD.' Well, would stand line copy. If enjoy minute film school features & other extras RR's DVDs, too should petition powers release RoadRacers - along original (&/or new) commentary track & extras. It's am important step Rodriguez' evolution from maverick indy maverick big-league filmmaker. version would must-have any fan.",1,2,False,strong_consensus,"{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review expresses a favorable impression of the movie and emphasizes the value of the director's commentary, indicating a strong appreciation for the film and its extras.""}","{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review explicitly states 'film's good' and calls it an 'important step' in the director's evolution, concluding that a complete version 'would must-have any fan'.""}",,2026-04-08T02:38:57.727885,0
sample_7a57c836,41821,movie not everyone. full subtle humor deeper meaning. epitome 'Canadian' meet non Canadian 'gets' it. get it's hilarious journey foreigner's dream become cowboy. He aided abetted quest strange collection friends made from chance meetings help couple spirit guides. comedy nicely balanced sad tender moments typical life's lessons. Superb scenery Alberta old first generation Honda Civic (circa 1977) round out intriguing film. only surprise not reached cult classic status yet!,1,2,False,strong_consensus,"{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review highlights the film's humor, emotional depth, and balanced storytelling, leading to a favorable impression overall. The mention of cult classic status indicates a strong appreciation for the movie.""}","{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review uses strong positive descriptors like 'hilarious journey,' 'nicely balanced,' 'superb scenery,' and 'intriguing film,' and expresses surprise it hasn't achieved cult classic status.""}",,2026-04-08T02:38:58.414552,0
sample_acc0e9c9,41823,"I've recommended film countless friends, reviews always mixed. lived Battle Creek years perhaps just means more me. film fact shot NC, not Battle Creek, still great job portraying romance early 1900's. performances top notch actors film give best. It's great film, not critically acclaimed movie. Dana Carey could've more lines, want know happened character actor played him as child, kid really great could've huge. liners movie classic. It's films think funny, recall later date, even funnier. get big, buttered bowl popcorn enjoy is! hilarious tale wacky health craze early 1900's.",1,2,False,strong_consensus,"{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review expresses a strong overall enjoyment of the film, highlighting its humor and performances, despite acknowledging mixed reviews from others.""}","{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review contains multiple strong positive statements about the film, including a direct recommendation to enjoy it, despite acknowledging it is 'not critically acclaimed'.""}",,2026-04-08T02:38:58.822178,0
sample_388966d8,41828,"never read book Robin Cook, wasn't very fond movie think will skip book. Short summary story is: widowed Chief Staff Dr. Jennifer Kessler (Joanna Kerns) finds out her patient died due some sort cancer, she doesn't quite believe because he fine he check up done not too long ago. another patient dies hospital pathologist lets her impossible patients died natural causes. hospital administrator Phillip Montgomery (Gregory Harrison) Jenny get involved, she still problems intimacy after her husband, researcher passed away accident. well known researcher approaches Jenny telling her his life danger due miracle he found he winds up dead front her same symptoms as her other patients leaving no clue behind all killings, she suspects Dr. Ralph Wannamaker (Robert Englund.aka Freddie Kreuger)who seems dislike people cost too much save. I'd give movie out only because Gregory Harrison looks wonderful actors fought hard keep movie interesting, it's kind movie really don't want see if you're going hospital some time soon.",-1,2,False,strong_consensus,"{""sentiment"": -1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review expresses a clear unfavorable impression of the movie, stating it's not worth seeing and highlighting dissatisfaction with the overall plot, despite mentioning some positives about the actors.""}","{""sentiment"": -1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The reviewer explicitly states they 'wasn't very fond movie' and concludes by saying it's a kind of movie you 'really don't want see,' despite minor praise for the actors.""}",,2026-04-08T02:39:00.568215,0
sample_f7fa86b2,41832,"Solid, commendable production Shakespeare tragedy. lead performers especially impressive as supporting cast. movie should also commended staying true setting not making any major changes original script. presenting Shakespeare straightforward manner, movie avoids traps pitfalls associated trying update story. Jenny Agutter wonderful as Lady Capulet Ben Daniels gives strong performance as Mercutio. essentially makes movie watchable story itself classic. course, as television production, movie lacks gloss might found feature film, more than makes up skillful directing excellent acting.",1,2,False,strong_consensus,"{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review praises the production quality, performances, and faithfulness to the original script, indicating a favorable impression overall.""}","{""sentiment"": 1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review consistently praises the movie's production, acting, and faithful adaptation, explicitly stating it is 'solid' and 'commendable' and 'watchable', despite a minor aesthetic drawback.""}",,2026-04-08T02:39:01.666490,0
sample_2eaf1c24,41830,"movie very disappointing.not only exceedingly depressing,but zero suspension tension.the whole thing just long drag. some people might like it,but definitely not cup tea.i haven't read book,but i'm sure heads tails above movie every respect.clearly many books not translate well onto screen.i won't say acting bad,because actors nothing work with.this movie truly most tedious hardest get through,though not worst movie ever seen.but if read book first,you will likely very disappointed movie version.this just opinion,of course,but i'd give ""Mortal Fear"" 3/10",-1,2,False,strong_consensus,"{""sentiment"": -1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review expresses clear disappointment with the movie, describing it as exceedingly depressing and tedious, while also recommending the book over the film.""}","{""sentiment"": -1, ""difficulty"": 2, ""ambiguous_flag"": false, ""reason"": ""The review explicitly calls the movie 'very disappointing,' a 'long drag,' 'tedious,' and gives it a 3/10 rating, despite a minor caveat.""}",,2026-04-08T02:39:01.935594,0
